Opponent,Match,Innings,Runs,Balls,Outs,SR,50,100,4s,6s,Dot %,Score,Next_Score,Stadium,Year,Is_Home_Match
Kolkata Knight Riders,ipl2022_06,2,12,7,1,171.4,0,0,2,0,42.9,31.14,13.33,"Dr DY Patil Sports Academy, Navi Mumbai",2022,0
Rajasthan Royals,ipl2022_13,2,5,6,1,83.3,0,0,0,0,33.3,13.33,66.33,Wankhede Stadium,2022,0
Mumbai Indians,ipl2022_18,2,48,36,1,133.3,0,0,5,0,27.8,66.33,4.33,"Maharashtra Cricket Association Stadium, Pune",2022,0
Chennai Super Kings,ipl2022_22,2,1,3,1,33.3,0,0,0,0,66.7,4.33,21.57,"Dr DY Patil Sports Academy, Navi Mumbai",2022,0
Delhi Capitals,ipl2022_27,1,12,14,1,85.7,0,0,1,0,42.9,21.57,0,Wankhede Stadium,2022,0
Lucknow Super Giants,ipl2022_31,1,0,1,1,0,0,0,0,0,100,0,0,"Dr DY Patil Sports Academy, Navi Mumbai",2022,0
Sunrisers Hyderabad,ipl2022_36,1,0,1,1,0,0,0,0,0,100,0,20,"Brabourne Stadium, Mumbai",2022,0
Rajasthan Royals,ipl2022_39,2,9,10,1,90,0,0,2,0,70,20,76.94,"Maharashtra Cricket Association Stadium, Pune",2022,0
Gujarat Titans,ipl2022_43,1,58,53,1,109.4,1,0,6,1,37.7,76.94,44.09,"Brabourne Stadium, Mumbai",2022,0
Chennai Super Kings,ipl2022_49,2,30,33,1,90.9,0,0,3,1,54.5,44.09,0,"Maharashtra Cricket Association Stadium, Pune",2022,0
Sunrisers Hyderabad,ipl2022_54,1,0,1,1,0,0,0,0,0,100,0,38.29,Wankhede Stadium,2022,0
Kings 11 Punjab,ipl2022_60,2,20,14,1,142.9,0,0,2,1,50,38.29,98.52,"Brabourne Stadium, Mumbai",2022,0
Gujarat Titans,ipl2022_67,2,73,54,1,135.2,1,0,8,2,29.6,98.52,37.42,Wankhede Stadium,2022,0
Lucknow Super Giants,ipl2022_72,1,25,24,1,104.2,0,0,2,0,41.7,37.42,17.75,Eden Gardens,2022,0
Rajasthan Royals,ipl2022_73,1,7,8,1,87.5,0,0,0,1,75,17.75,114.73,"Narendra Modi Stadium, Ahmedabad",2022,0
Mumbai Indians,ipl2023_05,2,82,49,0,167.3,1,0,6,5,30.6,114.73,35.67,M.Chinnaswamy Stadium,2023,1
Kolkata Knight Riders,ipl2023_09,2,21,18,1,116.7,0,0,3,0,50,35.67,86.86,Eden Gardens,2023,0
Lucknow Super Giants,ipl2023_15,1,61,44,1,138.6,1,0,4,4,36.4,86.86,72.71,M.Chinnaswamy Stadium,2023,1
Delhi Capitals,ipl2023_20,1,50,34,1,147.1,1,0,6,1,26.5,72.71,22,M.Chinnaswamy Stadium,2023,1
Chennai Super Kings,ipl2023_24,2,6,4,1,150,0,0,1,0,50,22,78.55,M.Chinnaswamy Stadium,2023,1
Kings 11 Punjab,ipl2023_27,1,59,47,1,125.5,1,0,5,1,27.7,78.55,0,Punjab Cricket Association IS Bindra Stadium,2023,0
Rajasthan Royals,ipl2023_32,1,0,1,1,0,0,0,0,0,100,0,74.59,M.Chinnaswamy Stadium,2023,1
Kolkata Knight Riders,ipl2023_36,2,54,37,1,145.9,1,0,6,0,13.5,74.59,44.33,M.Chinnaswamy Stadium,2023,1
Lucknow Super Giants,ipl2023_43,1,31,30,1,103.3,0,0,3,0,30,44.33,71.96,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,0
Delhi Capitals,ipl2023_50,1,55,46,1,119.6,1,0,5,0,26.1,71.96,3.5,Arun Jaitley Stadium,2023,0
Mumbai Indians,ipl2023_54,1,1,4,1,25,0,0,0,0,75,3.5,28.47,Wankhede Stadium,2023,0
Rajasthan Royals,ipl2023_60,1,18,19,1,94.7,0,0,1,0,21.1,28.47,135.87,Sawai Mansingh Stadium,2023,0
Sunrisers Hyderabad,ipl2023_65,2,100,63,1,158.7,0,1,12,4,34.9,135.87,132.56,Rajiv Gandhi International Stadium,2023,0
Gujarat Titans,ipl2023_70,1,101,61,0,165.6,0,1,13,1,16.4,132.56,33.5,M.Chinnaswamy Stadium,2023,1
Chennai Super Kings,ipl2024_01,1,21,20,1,105,0,0,0,1,30,33.5,107.71,MA Chidambaram Stadium,2024,0
Kings 11 Punjab,ipl2024_06,2,77,49,1,157.1,1,0,11,2,38.8,107.71,109.07,M.Chinnaswamy Stadium,2024,1
Kolkata Knight Riders,ipl2024_10,1,83,59,0,140.7,1,0,4,4,27.1,109.07,39.75,M.Chinnaswamy Stadium,2024,1
Lucknow Super Giants,ipl2024_15,2,22,16,1,137.5,0,0,2,1,37.5,39.75,148.69,M.Chinnaswamy Stadium,2024,1
Rajasthan Royals,ipl2024_19,1,113,72,0,156.9,0,1,12,4,27.8,148.69,6.33,Sawai Mansingh Stadium,2024,0
Mumbai Indians,ipl2024_25,1,3,9,1,33.3,0,0,0,0,66.7,6.33,73,Wankhede Stadium,2024,0
Sunrisers Hyderabad,ipl2024_30,2,42,20,1,210,0,0,6,2,35,73,48.71,M.Chinnaswamy Stadium,2024,1
Kolkata Knight Riders,ipl2024_36,2,18,7,1,257.1,0,0,1,2,28.6,48.71,68.86,Eden Gardens,2024,0
Sunrisers Hyderabad,ipl2024_41,1,51,43,1,118.6,1,0,4,1,25.6,68.86,97.91,Rajiv Gandhi International Stadium,2024,0
Gujarat Titans,ipl2024_45,2,70,44,0,159.1,1,0,6,3,22.7,97.91,67.56,"Narendra Modi Stadium, Ahmedabad",2024,0
Gujarat Titans,ipl2024_52,2,42,27,1,155.6,0,0,2,4,40.7,67.56,130.57,M.Chinnaswamy Stadium,2024,1
Kings 11 Punjab,ipl2024_58,1,92,47,1,195.7,1,0,7,6,23.4,130.57,54.77,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024,0
Delhi Capitals,ipl2024_62,1,27,13,1,207.7,0,0,1,3,38.5,54.77,74.21,M.Chinnaswamy Stadium,2024,1
Chennai Super Kings,ipl2024_68,1,47,29,1,162.1,0,0,3,4,37.9,74.21,51.75,M.Chinnaswamy Stadium,2024,1
